Clave,Nombre,ID,Representatividad,Estatus,Alcaldía/Municipio,Estado,Latitud,Longitud,Altitud
LLA,Los Laureles,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Ecatepec de Morelos,Estado de Mexico,19.578792,-99.039644,2230
MER,Merced,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Venustiano Carranza,CDMX,19.42461,-99.119594,2245
MGH,Miguel Hidalgo,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Miguel Hidalgo,CDMX,19.40405,-99.20266,2366
MPA,Milpa Alta,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Milpa Alta,CDMX,19.200712,-99.011325,2594
MON,Montecillo,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Texcoco,Estado de Mexico,19.460415,-98.902853,2252
MCM,Museo de la Ciudad de Mexico,4.84E+11,,Activa,Cuauhtemoc,CDMX,19.429071,-99.131924,2237
NEZ,Nezahualcoyotl,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Nezahualcoyotl,Estado de Mexico,19.393734,-99.028212,2235
PED,Pedregal,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Alvaro Obregon,CDMX,19.325146,-99.204136,2326
SAG,San Agustin,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Ecatepec de Morelos,Estado de Mexico,19.532968,-99.030324,2241
SNT,San Nicolas Totolapan,4.84E+11,,Activa,La Magdalena Contreras,CDMX,19.250385,-99.256462,2946
SFE,Santa Fe,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Cuajimalpa de Morelos,CDMX,19.357357,-99.262865,2599
SAC,Santiago Acahualtepec,4.85E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Iztapalapa,CDMX,19.34561,-99.009381,2293
TAH,Tlahuac,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Xochimilco,CDMX,19.246459,-99.010564,2297
TLA,Tlalnepantla,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Tlalnepantla de Baz,Estado de Mexico,19.529077,-99.204597,2311
TLI,Tultutlan,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Tultitlan,Estado de Mexico,19.602542,-99.177173,2313
UIZ,UAM Iztaplapa,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Iztapalapa,CDMX,19.360794,-99.07388,2221
UAX,UAM Xochimilco,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Coyoacan,CDMX,19.304441,-99.103629,2246
VIF,Villa de la Flores,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Coacalco de Berriozabal,Estado de Mexico,19.658223,-99.09659,2242
XAL,Xalostoc,4.84E+11,"O3, CO, SO2, NO2, PM10, PM2.5",Activa,Ecatepec de Morelos,Estado de Mexico,19.525995,-99.0824,2160
